d_stamp,t_stamp,s9_id,depth,temperature,threshold,const_err
2017-07-27,02:00:00,A00C,77,19.86,,
2017-07-27,02:00:00,A016,5,28.94,,
2017-07-27,02:00:00,A00B,14,28.75,,
2017-07-27,02:30:00,A00E,68,20.93,,
2017-07-27,02:30:00,A00D,50,23.06,,
2017-07-27,02:30:00,A015,23,27.28,,
2017-07-27,02:30:00,A00A,59,21.97,,
2017-07-27,02:30:00,A00H,32,26.02,,
2017-07-27,02:30:00,A00C,77,19.62,,
2017-07-27,02:30:00,A016,5,28.99,,
2017-07-27,02:30:00,A00B,14,28.74,,
2017-07-27,03:00:00,A00E,68,20.95,,
2017-07-27,03:00:00,A00D,50,23.11,,
2017-07-27,03:00:00,A015,23,27.33,,
2017-07-27,03:00:00,A00A,59,21.96,,
2017-07-27,03:00:00,A016,5,29.02,,
2017-07-27,03:00:00,A00H,32,26.02,,
2017-07-27,03:00:00,A00B,14,28.77,,
2017-07-27,03:30:00,A00E,68,20.98,,
2017-07-27,03:30:00,A00D,50,23.08,,
2017-07-27,03:30:00,A015,23,27.75,,
2017-07-27,03:30:00,A00A,59,21.68,,
2017-07-27,03:30:00,A016,5,29.03,,
2017-07-27,03:30:00,A00C,77,19.89,,
2017-07-27,03:30:00,A00H,32,25.86,,
2017-07-27,03:30:00,A00B,14,28.93,,
2017-07-27,04:00:00,A00E,68,21.03,,
2017-07-27,04:00:00,A00D,50,23.01,,
2017-07-27,04:00:00,A015,23,27.64,,
2017-07-27,04:00:00,A00A,59,21.88,,
2017-07-27,04:00:00,A00H,32,26.12,,
2017-07-27,04:00:00,A016,5,29.06,,
2017-07-27,04:00:00,A00B,14,28.91,,
2017-07-27,04:30:00,A00E,68,21.16,,
2017-07-27,04:30:00,A00D,50,22.92,,
2017-07-27,04:30:00,A015,23,27.91,,
2017-07-27,04:30:00,A00A,59,21.95,,
2017-07-27,04:30:00,A016,5,29.07,,
2017-07-27,04:30:00,A00C,77,19.69,,
2017-07-27,04:30:00,A00H,32,26.31,,
2017-07-27,04:30:00,A00B,14,28.97,,
2017-07-27,05:00:00,A00E,68,21.25,,
2017-07-27,05:00:00,A00D,50,23.14,,
2017-07-27,05:00:00,A015,23,28.07,,
2017-07-27,05:00:00,A00A,59,21.99,,
2017-07-27,05:00:00,A00H,32,26.44,,
2017-07-27,05:00:00,A016,5,29.11,,
2017-07-27,05:00:00,A00B,14,29.04,,
2017-07-27,05:30:00,A00E,68,21.32,,
2017-07-27,05:30:00,A00D,50,23.16,,
2017-07-27,05:30:00,A015,23,28.15,,
2017-07-27,05:30:00,A00A,59,22,,
2017-07-27,05:30:00,A00H,32,26.6,,
2017-07-27,05:30:00,A00C,77,19.67,,
2017-07-27,05:30:00,A016,5,29.16,,
2017-07-27,05:30:00,A00B,14,29.01,,
2017-07-27,06:00:00,A00E,68,21.24,,
2017-07-27,06:00:00,A00D,50,23.1,,
2017-07-27,06:00:00,A015,23,28.22,,
2017-07-27,06:00:00,A00A,59,22.03,,
2017-07-27,06:00:00,A016,5,29.17,,
2017-07-27,06:00:00,A00H,32,26.71,,
2017-07-27,06:00:00,A00B,14,29.09,,
2017-07-27,06:30:00,A00E,68,20.75,,
2017-07-27,06:30:00,A00D,50,23.08,,
2017-07-27,06:30:00,A015,23,28.11,,
2017-07-27,06:30:00,A00A,59,22.03,,
2017-07-27,06:30:00,A016,5,29.2,,
2017-07-27,06:30:00,A00C,77,19.81,,
2017-07-27,06:30:00,A00H,32,26.96,,
2017-07-27,06:30:00,A00B,14,29,,
2017-07-27,07:00:00,A00E,68,20.77,,
2017-07-27,07:00:00,A00D,50,23.03,,
2017-07-27,07:00:00,A015,23,28.15,,
2017-07-27,07:00:00,A00A,59,22.07,,
2017-07-27,07:00:00,A016,5,29.27,,
2017-07-27,07:00:00,A00C,77,19.85,,
2017-07-27,07:00:00,A00H,32,27.02,,
